-BEGIN HEADER-,,,,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,,,,
Dates (month/day/year): 10/01/2019 through 10/01/2025 in LST,,,,,,,,,
Location: Latitude  41.3981   Longitude 2.1538 ,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,
Parameter(s): ,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) ,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,,,
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,
-END HEADER-,,,,,,,,,
YEAR,MO,DY,HR,T2M,RH2M,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR,T2MWET
2019,10,1,0,17.63,99.33,2.2,0,0.08,17.57
2019,10,1,1,17.27,98.5,2.24,0,0.05,17.14
2019,10,1,2,17.24,94.84,2.11,0,0.04,16.79
2019,10,1,3,17.51,88.7,1.82,0,0.08,16.51
2019,10,1,4,17.72,83.23,1.55,0,0.1,16.17
2019,10,1,5,17.71,79.74,1.44,0,0.12,15.77
2019,10,1,6,18.09,78.52,1.47,64.53,0.15,16.01
2019,10,1,7,20.16,72.96,1.88,219.77,0.17,17.51
2019,10,1,8,22.01,68.11,2.72,387.77,0.19,18.84
2019,10,1,9,23.87,63.2,3.14,537.62,0.2,20.11
2019,10,1,10,25.35,58.78,3.4,628.45,0.2,20.98
2019,10,1,11,26.69,53.77,3.84,639.45,0.22,21.58
2019,10,1,12,27.62,49.71,4.19,662.53,0.21,21.85
